mp1_tc,rr_3,ffr,ygap,infl,lpcom
0.037786733,-0.2717572,1.02,-0.877288581,2.2100650839547598,5.539123636
0.00012,-0.4209876,1.0,-0.429185274,1.8912130709072272,5.630030373
0.001666633,-0.0369602,1.0,-0.585231485,3.4744367912011853,5.694137006
-0.003882167,0.0292589,1.01,-0.505854958,3.467021360597755,5.70655586
0.000848833,0.4268591,1.43,-0.232433422,2.4543395173196814,5.684359767
-0.004267067,0.4543044,1.95,0.113232574,2.7948918807606304,5.68652713
-0.001276267,0.1680486,2.47,0.583773585,3.6875993491115366,5.680565299
-0.001898833,0.5301628,2.94,0.438788209,2.894336902218697,5.698443794
0.0015388,0.309533,3.46,0.749350952,3.7229395325283576,5.678396059
0.006014267,0.2695316,3.98,0.834201694,3.0232112819074786,5.700296847
0.000555767,0.2090219,4.45,1.646350589,3.132705974472927,5.737378905
-0.0003333,0.6044538,4.91,1.408212326,3.2056386706884155,5.791219704
-0.022225467,0.1261501,5.25,1.130476483,2.781388620752878,5.8298242
-0.004831233,-0.0137968,5.24,1.586434518,1.3960302808822433,5.868677544
-0.0016667,0.0863401,5.25,1.469228589,4.469599237548394,5.910179027
-0.002346567,-0.0833344,5.25,1.72685693,2.228555968869017,5.983604664
-0.026735533,-0.5634434,5.07,1.991878695,1.384518008284985,6.01422084
-0.0391056,-0.3788987,4.5,2.354869887,1.7392488281803509,6.024882235
